priority,user_agent,screen_width,screen_height,color_depth,timezone_offset,language,platform,market_share_estimate,year_min,year_max
1001,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,0,en-US,Win32,0.065,2012,2014
1002,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,-300,en-US,Win32,0.0637,2012,2014
1003,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,60,en-US,Win32,0.0624,2012,2014
1004,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,-180,ru-RU,Win32,0.0612,2012,2014
1005,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,-120,ru-RU,Win32,0.06,2012,2014
1006,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,-240,ru-RU,Win32,0.0588,2012,2014
1007,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,0,ru-RU,Win32,0.0576,2012,2014
1008,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,-300,ru-RU,Win32,0.0565,2012,2014
1009,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,60,ru-RU,Win32,0.0553,2012,2014
1010,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,-420,en-US,Win32,0.0542,2012,2014
1011,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,-480,en-US,Win32,0.0531,2012,2014
1012,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,-360,en-US,Win32,0.0521,2012,2014
1013,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,120,de-DE,Win32,0.051,2012,2014
1014,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,180,ru-RU,Win32,0.05,2012,2014
1015,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1366,768,32,240,ru-RU,Win32,0.049,2012,2014
1016,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,0,en-US,Win32,0.048,2012,2014
1017,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,-300,en-US,Win32,0.047,2012,2014
1018,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,60,en-US,Win32,0.046,2012,2014
