timestamp_ms,browser_engine,market_share,year_min,year_max,screen_width,screen_height,color_depth,timezone_offset,language,platform,user_agent
1316848089438,ChromeV8,0.46,2011,2011,320,568,32,720,it-IT,MacIntel,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.19 (KHTML, like Gecko) Chrome/27.0.1525.183 Safari/537.11"
1436478972948,SafariJSC,0.12,2015,2015,1280,800,32,720,de-DE,MacIntel,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.26 (KHTML, like Gecko) Version/5.0.3 Safari/563.16"
1300502618694,SafariMobile,0.03,2011,2011,320,568,24,360,de-DE,Win32,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3 like Mac OS X) AppleWebKit/584.30 (KHTML, like Gecko) Version/9.0 Mobile/12J198 Safari/560.31"
1327634326949,FirefoxSM,0.3,2012,2012,1920,1080,32,180,es-ES,Linux x86_64,Mozilla/5.0 (Windows NT 6.2; rv:29.0) Gecko/20100101 Firefox/42.0
1381237832453,FirefoxSM,0.27,2013,2013,360,640,16,-240,es-ES,MacIntel,Mozilla/5.0 (Windows NT 6.3; rv:40.0) Gecko/20100101 Firefox/19.0
1308815814910,FirefoxSM,0.3,2011,2011,1440,900,32,180,zh-CN,iPhone,Mozilla/5.0 (Windows NT 6.3; rv:43.0) Gecko/20100101 Firefox/10.0
1317455344197,IEChakra,0.25,2011,2011,1680,1050,16,480,ja-JP,Android,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
1326533070320,FirefoxSM,0.3,2012,2012,360,640,24,-180,zh-CN,MacIntel,Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/21.0
1302550158024,ChromeMobile,-0.01,2011,2011,1280,800,32,360,zh-CN,MacIntel,"Mozilla/5.0 (Linux; Android 6; Nexus 5) AppleWebKit/537.3 (KHTML, like Gecko) Chrome/29.0.2707.125 Mobile Safari/537.36"
1330700661532,IEChakra,0.24,2012,2012,414,736,32,360,fr-FR,Win32,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.0)
1346738227550,SafariJSC,0.11,2012,2012,1024,768,32,60,zh-CN,iPhone,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/562.5 (KHTML, like Gecko) Version/5.0.1 Safari/549.42"
1397485219796,ChromeV8,0.4,2014,2014,360,640,32,300,ja-JP,Linux x86_64,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.5 (KHTML, like Gecko) Chrome/30.0.1862.132 Safari/537.12"
1316930604604,ChromeMobile,0.05,2011,2011,1280,800,24,480,de-DE,Android,"Mozilla/5.0 (Linux; Android 5; Nexus 4) AppleWebKit/537.28 (KHTML, like Gecko) Chrome/26.0.2929.44 Mobile Safari/537.6"
1367751480729,FirefoxSM,0.32,2013,2013,414,736,16,420,fr-FR,Win32,Mozilla/5.0 (Windows NT 6.3; rv:26.0) Gecko/20100101 Firefox/31.0
1320011047453,FirefoxSM,0.31,2011,2011,1024,768,24,720,zh-CN,iPhone,Mozilla/5.0 (Windows NT 6.3; rv:28.0) Gecko/20100101 Firefox/20.0
1349565684343,ChromeV8,0.4,2012,2012,1920,1080,24,300,ko-KR,Win32,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.27 (KHTML, like Gecko) Chrome/25.0.1401.146 Safari/537.20"
